Details,Accession,Release_Date,Species,Genus,Family,Length,Genotype,Genome_Region,Segment,Protein,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
"",QHR63254,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,nonstructural protein NS6,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS6 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63255,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS7a,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7a [Severe acute respiratory syndrome coronavirus 2]
"",QHR63256,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,nonstructural protein NS7b,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7b [Severe acute respiratory syndrome coronavirus 2]
"",QHR63257,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS8,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS8 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63258,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid protein,China,Homo sapiens,lung,2019-12-30,,nucleocapsid protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63279,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,lung,2019-12-30,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63280,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,spike glycoprotein,China,Homo sapiens,lung,2019-12-30,,spike glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63281,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,nonstructural protein NS3,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS3 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63282,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,lung,2019-12-30,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63283,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane protein,China,Homo sapiens,lung,2019-12-30,,membrane protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63284,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,nonstructural protein NS6,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS6 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63285,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS7a,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7a [Severe acute respiratory syndrome coronavirus 2]
"",QHR63286,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,nonstructural protein NS7b,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7b [Severe acute respiratory syndrome coronavirus 2]
"",QHR63287,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS8,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS8 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63288,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid protein,China,Homo sapiens,lung,2019-12-30,,nucleocapsid protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63259,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,lung,2019-12-30,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63260,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,spike glycoprotein,China,Homo sapiens,lung,2019-12-30,,spike glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63261,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,nonstructural protein NS3,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS3 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63262,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,lung,2019-12-30,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63263,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane protein,China,Homo sapiens,lung,2019-12-30,,membrane protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63264,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,nonstructural protein NS6,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS6 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63265,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS7a,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7a [Severe acute respiratory syndrome coronavirus 2]
"",QHR63266,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,nonstructural protein NS7b,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7b [Severe acute respiratory syndrome coronavirus 2]
"",QHR63267,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS8,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS8 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63268,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid protein,China,Homo sapiens,lung,2019-12-30,,nucleocapsid protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63289,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,lung,2019-12-30,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63290,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,spike glycoprotein,China,Homo sapiens,lung,2019-12-30,,spike glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63291,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,nonstructural protein NS3,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS3 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63292,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,lung,2019-12-30,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63293,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane protein,China,Homo sapiens,lung,2019-12-30,,membrane protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63294,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,nonstructural protein NS6,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS6 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63295,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS7a,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7a [Severe acute respiratory syndrome coronavirus 2]
"",QHR63296,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,nonstructural protein NS7b,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7b [Severe acute respiratory syndrome coronavirus 2]
"",QHR63297,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS8,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS8 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63298,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid protein,China,Homo sapiens,lung,2019-12-30,,nucleocapsid protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71972,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx,2020-01-22,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71973,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-22,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71974,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,orf3a protein,USA,Homo sapiens,oronasopharynx,2020-01-22,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71975,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,USA,Homo sapiens,oronasopharynx,2020-01-22,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71976,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-22,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71977,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,orf6 protein,USA,Homo sapiens,oronasopharynx,2020-01-22,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71978,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf7a protein,USA,Homo sapiens,oronasopharynx,2020-01-22,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71979,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf8 protein,USA,Homo sapiens,oronasopharynx,2020-01-22,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71980,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx,2020-01-22,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71981,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,orf10 protein,USA,Homo sapiens,oronasopharynx,2020-01-22,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63269,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,lung,2019-12-30,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63270,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,spike glycoprotein,China,Homo sapiens,lung,2019-12-30,,spike glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63271,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,nonstructural protein NS3,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS3 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63272,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,lung,2019-12-30,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63273,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane protein,China,Homo sapiens,lung,2019-12-30,,membrane protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63274,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,nonstructural protein NS6,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS6 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63275,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS7a,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7a [Severe acute respiratory syndrome coronavirus 2]
"",QHR63276,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,nonstructural protein NS7b,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS7b [Severe acute respiratory syndrome coronavirus 2]
"",QHR63277,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,nonstructural protein NS8,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS8 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63278,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid protein,China,Homo sapiens,lung,2019-12-30,,nucleocapsid protein [Severe acute respiratory syndrome coronavirus 2]
"",QHN73820,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,95,,,,ORF1ab polyprotein,China,Homo sapiens,oronasopharynx,2020-01,,"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QHW06049,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06053,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,orf6 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06054,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf7a protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06055,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf8 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06056,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06057,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,orf10 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60594,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-19,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60595,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,orf3a protein,USA,Homo sapiens,oronasopharynx,2020-01-19,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60596,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,USA,Homo sapiens,oronasopharynx,2020-01-19,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60597,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-19,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60598,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,orf6 protein,USA,Homo sapiens,oronasopharynx,2020-01-19,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60599,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf7a protein,USA,Homo sapiens,oronasopharynx,2020-01-19,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60600,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf8 protein,USA,Homo sapiens,oronasopharynx,2020-01-19,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60601,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx,2020-01-19,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60602,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,orf10 protein,USA,Homo sapiens,oronasopharynx,2020-01-19,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO60603,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx,2020-01-19,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87581,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87583,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,orf3a protein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87585,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87586,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,orf6 protein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87588,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf8 protein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87589,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87590,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,orf10 protein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25673,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,Japan,Homo sapiens,,2020-01,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25675,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,ORF3a protein,Japan,Homo sapiens,,2020-01,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25676,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,Japan,Homo sapiens,,2020-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25677,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,Japan,Homo sapiens,,2020-01,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25680,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF8 protein,Japan,Homo sapiens,,2020-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25682,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,ORF10 protein,Japan,Homo sapiens,,2020-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25643,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,Japan,Homo sapiens,,2020-01,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25645,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,ORF3a protein,Japan,Homo sapiens,,2020-01,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25647,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,Japan,Homo sapiens,,2020-01,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25648,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,ORF6 protein,Japan,Homo sapiens,,2020-01,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25650,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF8 protein,Japan,Homo sapiens,,2020-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87582,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87584,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87587,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf7a protein,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25674,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,Japan,Homo sapiens,,2020-01,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25678,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,ORF6 protein,Japan,Homo sapiens,,2020-01,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25679,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF7a protein,Japan,Homo sapiens,,2020-01,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25681,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,Japan,Homo sapiens,,2020-01,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25644,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,Japan,Homo sapiens,,2020-01,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25646,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,Japan,Homo sapiens,,2020-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25649,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF7a protein,Japan,Homo sapiens,,2020-01,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25651,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,Japan,Homo sapiens,,2020-01,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25652,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,ORF10 protein,Japan,Homo sapiens,,2020-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06058,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06059,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06060,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,orf3a protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06061,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
